name,score,luma stdev,DL accutance,"['layer_1_gain_positive_lut', 'layer_1_gain_negative_lut']",
target,0,0.4,11.0
ind0_init,4.35025,0.414162581623059,7.1347,[1.01 1.77]
ind1_init,2.76638,0.4003414937871721,7.5987,[1.7  1.02]
ind2_init,2.88425,0.3936621858423468,8.105,[0.58 2.47]
ind3_init,0.80841,0.3940412612081144,10.6439,[3.61 2.57]
ind4_init,4.5094,0.3788555020554639,7.697,[2.74 0.22]
ind0_gne0,3.543091928,0.42605796660084666,9.433,[1.01 4.  ]
ind1_gne0,2.999035998,0.41902990931951517,9.3441,[1.7 4. ]
ind2_gne0,3.097889304,0.3826007666692479,9.0437,[1.62 2.47]
ind3_gne0,3.706553207,0.44014440719277104,11.2366,[3.61 3.67]
ind4_gne0,2.390669343,0.41423081518889726,9.5778,[1.79 2.98]
